url,thread_id,title,thread_category,answer_by_doctor,title_category
https://www.agnoshealth.com/forums/12,12,เป็นผื่นปื้นตามเเขน คัน มีขึ้นที่มือด้วย ผื่นมีลักษณะเเดงๆ อยู่รวมกันเป็นกลุ่มๆค่ะ,ผื่นตามร่างกาย (Dermatitis unspecified),อาจลองทานยาแก้แพ้ดูก่อนครับ แล้วถ้าทานแล้วซัก 1 วัน อาการไม่ขึ้นควรไปรพ. ครับ,เป็นผื่นปื้นตามเเขน คัน มีขึ้นที่มือด้วย ผื่นมีลักษณะเเดงๆ อยู่รวมกันเป็นกลุ่มๆค่ะ ผื่นตามร่างกาย (Dermatitis unspecified)
https://www.agnoshealth.com/forums/13,13,ผายลมทั้งวัน เกิดจากสาเหตุอะไรคะ แล้วผิดปกติรึป่าว,ไข้หวัด (Common cold (Nasopharyngitis)),แปลว่ามีลมในทางเดินอาหารเยอะ สาเหตุได้หลายอย่างครับ แต่่ส่วนใหญ่มักไม่อันตราย สามารถทานยาขับลมซึ่งสามารถซื้อจากร้านยาทั่วไปได้ครับ,ผายลมทั้งวัน เกิดจากสาเหตุอะไรคะ แล้วผิดปกติรึป่าว ไข้หวัด (Common cold (Nasopharyngitis))
https://www.agnoshealth.com/forums/14,14,สวัสดีค่ะ หนูมีอาการเจ็บแน่นหน้าอกเหมือนมีอะไรมาบีบมาทับหน้าอกซ้ายเป็นไม่เก็น15นาที เป็นๆหายๆ แล้วก็หายใจหอบเหนื่อยค่ะ บางทีก็รู้สึกร้าวไปที่แขนซ้าย เพลียๆหมดแรง ท้องช่วงบนก็บวมๆรู้สึกอึดอัดแปลกๆ,เยื่อหุ้มหัวใจอักเสบ (Acute pericarditis),สวัสดีครับ จากอาการที่บอกมาอย่างเดียว ยังบอกยากว่ามีสาเหตุจากอะไรนะครับ แต่แนะนำว่าถ้ามีอาการอีกครั้งอาจลองทานยาแก้ปวดและพักก่อน แล้วถ้าไม่ดีขึ้นหรือมีอาการเป็นรุนแรงมากขึ้น หรือเป็นบ่อยอาจจะต้องไปตรวจเพิ่มที่รพครับ เพราะอาจจะต้องตรวจร่างกายเพิ่มเติมหรือเอกซเรย์ปอดเพิ่มเติมครับ,สวัสดีค่ะ หนูมีอาการเจ็บแน่นหน้าอกเหมือนมีอะไรมาบีบมาทับหน้าอกซ้ายเป็นไม่เก็น15นาที เป็นๆหายๆ แล้วก็หายใจหอบเหนื่อยค่ะ บางทีก็รู้สึกร้าวไปที่แขนซ้าย เพลียๆหมดแรง ท้องช่วงบนก็บวมๆรู้สึกอึดอัดแปลกๆ เยื่อหุ้มหัวใจอักเสบ (Acute pericarditis)
https://www.agnoshealth.com/forums/15,15,คือหนูมีประจำเดือนมาเล็กๆน้อยสีน้ำตาลแบบเหมือนเลือดค้าง แล้วถัดไปก็เป็นประจำเดือนปกติ เดือนนี้เริ่มเป็นสีน้ำตาลอีกรอบละค่ะ กลัวมามันมา2ครั้งแบบนี้จะเป็นอันตรายอะไรไหม,ภาวะประจำเดือนมาน้อยผิดปกติ (Oligomenorrhea unspecified),"อาจเป็นเลือดที่ยังค้างอยู่ในมดลูกได้ครับ ซึ่งไม่ได้อันตรายอะไร,, อาการที่ส่งสัญญาณว่าอันตรายคือ ประจำเดือนมาบ่อยกว่าปกติ มามากกว่าปกตื หรือมีอาการปวดท้องน้อยอย่างรุนแรงร่วมกับมีไข้ครับ",คือหนูมีประจำเดือนมาเล็กๆน้อยสีน้ำตาลแบบเหมือนเลือดค้าง แล้วถัดไปก็เป็นประจำเดือนปกติ เดือนนี้เริ่มเป็นสีน้ำตาลอีกรอบละค่ะ กลัวมามันมา2ครั้งแบบนี้จะเป็นอันตรายอะไรไหม ภาวะประจำเดือนมาน้อยผิดปกติ (Oligomenorrhea unspecified)
https://www.agnoshealth.com/forums/16,16,ทำแบบสอบถามเดือนละครั้งนี่ครั้งที่3แล้วค่ะ ผลประเมินที่ได้มีอาการนี้ร่วมด้วยทุกครั้งเลยค่ะ ด้วยความที่เป็นคนที่เซนซิทีฟง่ายมากๆชอบคิดมาก คุณหมอพอจะมีวิธีให้หายหรือแก้ให้ดีขึ้นไหมคะ เพราะตอนนี้บางทีก็ไม่เป็นอันเรียนอันทำงานส่งเลยค่ะ พอดิ่งแล้วดิ่งเลยร้องไห้บางทีไม่มีเหตุผลแต่ก็รู้สึกท้อแท้เศร้าตลอดเลยค่ะ,ภาวะการปรับตัวผิดปกติ (Adjustment disorder),วิธีที่เสริมสุขภาพจิตได้ดีและทำได้ง่าย คือการออกกำลังกาย การนั่งสมาธื หรือทำงานอดิเรกที่ชอบบ่อยๆครับ หรือถ้าคิดว่าอาการเริ่มเป็นเยอะลองหาเวลาว่างปรึกษากับสายด่วนสุขภาพจิตเบื่องต้นได้ครับ เบอร์ 1323,ทำแบบสอบถามเดือนละครั้งนี่ครั้งที่3แล้วค่ะ ผลประเมินที่ได้มีอาการนี้ร่วมด้วยทุกครั้งเลยค่ะ ด้วยความที่เป็นคนที่เซนซิทีฟง่ายมากๆชอบคิดมาก คุณหมอพอจะมีวิธีให้หายหรือแก้ให้ดีขึ้นไหมคะ เพราะตอนนี้บางทีก็ไม่เป็นอันเรียนอันทำงานส่งเลยค่ะ พอดิ่งแล้วดิ่งเลยร้องไห้บางทีไม่มีเหตุผลแต่ก็รู้สึกท้อแท้เศร้าตลอดเลยค่ะ ภาวะการปรับตัวผิดปกติ (Adjustment disorder)
https://www.agnoshealth.com/forums/17,17,คือเป็นกังวลมากครับช่วงที่ผ่านเคยมีอาการถ่ายเป็นเลือดเเต่ไปตรวจวินิจฉัยต้นปีด้วยการตรวจอุจจาระ เเต่ไม่พบสิ่งผิดปกติใดๆ เเล้วช่วงนี้ก็กลับมาถ่ายมีเลือด ช่วงๆเเรกที่เป็นคือมีอาการเจ็บมากๆครับเป็นเเผลปริที่ขอบทวาร เเต่ครั้งนี้ไม่เจ็บครับเเต่มีเลือดติดมากับอุจจาระเเละกระดาษทิชชู่เเเต่ต้องเช็ดเข้าลึกๆหน่อยครับถึงจะติดมา จะถามคุณหมอว่า เสี่ยงเป็น มะเร็งลำไส้มั้ยครับ เเล้วควรไปตรวจอีกรอบเพื่อความเเน่ใจรึเปล่าครับ,ริดสีดวงทวาร (Hemorrhoids),อายุ 21 ปี โอกาสเป็นมะเร็งน้อยอยู่แล้วครับ อาการที่เล่ามาเข้าได้กับริดสีดวงทวารมากกว่านะครับ สามารถไปตรวจยืนยันได้ที่รพ. ครับ เข้าพบคุณหมอศัลยกรรม ริดสีดวงทวารเป้นโรคที่รักษาไม่ยากครับ,คือเป็นกังวลมากครับช่วงที่ผ่านเคยมีอาการถ่ายเป็นเลือดเเต่ไปตรวจวินิจฉัยต้นปีด้วยการตรวจอุจจาระ เเต่ไม่พบสิ่งผิดปกติใดๆ เเล้วช่วงนี้ก็กลับมาถ่ายมีเลือด ช่วงๆเเรกที่เป็นคือมีอาการเจ็บมากๆครับเป็นเเผลปริที่ขอบทวาร เเต่ครั้งนี้ไม่เจ็บครับเเต่มีเลือดติดมากับอุจจาระเเละกระดาษทิชชู่เเเต่ต้องเช็ดเข้าลึกๆหน่อยครับถึงจะติดมา จะถามคุณหมอว่า เสี่ยงเป็น มะเร็งลำไส้มั้ยครับ เเล้วควรไปตรวจอีกรอบเพื่อความเเน่ใจรึเปล่าครับ ริดสีดวงทวาร (Hemorrhoids)
https://www.agnoshealth.com/forums/18,18,ประจำเดือนไม่มา 4-5 เดือนแล้วค่ะ ก่อนหน้านี้เคยกินยาคุม 21 เม็ด เว้น 7 วันประจำเดือนมาปกติ แต่มาในลักษณะเป็นคลาบสีน้ำตาลๆ ไม่ใช่เลือดสีแดงอะค่ะ แล้วก็จะเป็นลิ่มๆ ก้อนๆ เป็นอยู่ประมาณ 3-5 วัน แต่พอเลิกกินยาคุมไปก็ไม่มีอะไรมาอีกเลย แบบนี้ถือว่าปกติไหมคะ,ถุงน้ำรังไข่ (PCOS),สามารถเป็นผลจากการที่หยุดทานยาคุมได้ครับ แต่ถ้าเป็นมา 4-5 เดือนแล้ว ควรปรึกษากับหมอนรีเวชนะครับ อาจมีความจำเป็นต้องทานยาปรับฮอร์โมนเพศหญิงครับ,ประจำเดือนไม่มา 4-5 เดือนแล้วค่ะ ก่อนหน้านี้เคยกินยาคุม 21 เม็ด เว้น 7 วันประจำเดือนมาปกติ แต่มาในลักษณะเป็นคลาบสีน้ำตาลๆ ไม่ใช่เลือดสีแดงอะค่ะ แล้วก็จะเป็นลิ่มๆ ก้อนๆ เป็นอยู่ประมาณ 3-5 วัน แต่พอเลิกกินยาคุมไปก็ไม่มีอะไรมาอีกเลย แบบนี้ถือว่าปกติไหมคะ ถุงน้ำรังไข่ (PCOS)
https://www.agnoshealth.com/forums/19,19,ที่ผ่านมาประจำเดือนมาปกติทุกเดือน ล่าสุดมาวันที่ 20-26 มิ.ย 65 แต่เดือน ก.ค. ประจำเดือนเลื่อนมาแล้ว 8 วัน ตรวจแล้วขึ้น 1 ขีด ก่อนหน้านี้วันที่ 23/7/65 มีเลือดสีน้ำตาลเลอะติดกางเกงในเล็กน้อย มีอาการเวียนศีรษะ พะอืดพะอม อืดท้อง หน่วงท้องน้อยด้านซ้ายนิดๆ 2 วัน แต่ไม่ปวดเต้านม(ปกติจะปวดก่อนประจำเดือนมา 1 อาทิตย์) มี sex ล่าสุด 3/7/65 หลั่งนอก และหายจากโควิดเมื่อ 4/7/65 อยากทราบว่าจะเป็นผลจาก long covid หรือว่ามีโอกาสตั้งครรภ์หรือไม่?,สงสัยภาวะตั้งครรภ์ (Pregnancy not yet confirmed),ยังมีโอกาสจะเป็นการตั้งครรภ์ได้อยู่ครีบ อาจลองซื้อที่ตรวจการตั้งครรภ์มาตรวจอีกซักครั้ง ถ้าไม่ตั้งครรภ์แปลว่ารอบนเดือนรอบนี้มีความผิดปกติของฮอร์โมนเพศหญิงได้ ถ้าตอนนี้ยังมีอาการตามที่บอกมาควรไปตรวจเพิ่มกับหมอนริเวชที่รพ.ครับ แต่ถ้ากลับมาเป็นปกติแล้ว รอสังเกตุรอบเดือนถัดไปว่ามาปกติหรือไม่ได้ครับ,ที่ผ่านมาประจำเดือนมาปกติทุกเดือน ล่าสุดมาวันที่ 20-26 มิ.ย 65 แต่เดือน ก.ค. ประจำเดือนเลื่อนมาแล้ว 8 วัน ตรวจแล้วขึ้น 1 ขีด ก่อนหน้านี้วันที่ 23/7/65 มีเลือดสีน้ำตาลเลอะติดกางเกงในเล็กน้อย มีอาการเวียนศีรษะ พะอืดพะอม อืดท้อง หน่วงท้องน้อยด้านซ้ายนิดๆ 2 วัน แต่ไม่ปวดเต้านม(ปกติจะปวดก่อนประจำเดือนมา 1 อาทิตย์) มี sex ล่าสุด 3/7/65 หลั่งนอก และหายจากโควิดเมื่อ 4/7/65 อยากทราบว่าจะเป็นผลจาก long covid หรือว่ามีโอกาสตั้งครรภ์หรือไม่? สงสัยภาวะตั้งครรภ์ (Pregnancy not yet confirmed)
https://www.agnoshealth.com/forums/20,20,ภาพเหตุการณ์ที่เคยถูกทำร้ายยังติดตา ภาพวนๆมาให้เห็นอยู่แทบทุกวัน ทั้งที่เหตุการณ์นั้นผ่านไปมากกว่า 1ปี แล้วทำยังไงได้บ้างคะ,ภาวะผิดปกติที่เกิดจากสารเสพติด (Substance related disorder),ควรปรึกษากับจิตแพทย์ที่โรงพยาบาลนะครับ มีวีธีการช่วยเหลืออยู่หลายทางครับ ไม่ว่าจะเป็นการบำบัดแบบต่างๆ หรือการทานยาครับผม,ภาพเหตุการณ์ที่เคยถูกทำร้ายยังติดตา ภาพวนๆมาให้เห็นอยู่แทบทุกวัน ทั้งที่เหตุการณ์นั้นผ่านไปมากกว่า 1ปี แล้วทำยังไงได้บ้างคะ ภาวะผิดปกติที่เกิดจากสารเสพติด (Substance related disorder)
https://www.agnoshealth.com/forums/21,21,อยากทราบ ว่ามันเราสามารถซื้อยามากินได้ไหมค่ะ พอดีไม่มีเวลาไปโรงพยาบาลเลย แรกๆเวลาฉี่รู้สึกเจ็บมากค่ะ แต่พอหลังๆเริ่มไม่ค่อยเจ็บเท่าไรแต่จะคันแทนมากกว่า,ติดเชื้อพยาธิในช่องคลอด (Trichomonas vaginitis),ด้วยตัวโรคนี้สามารถรักษาด้วยยาฆ่าเชื้อ คือ Metronidazole ซึ่งหาซื้อตามร้านขายยาที่มีเภสัชกรได้ครับ แต่เนื่องจากโรคนี้เป็นหนึ่งในโรคที่ติดต่อทางเพศสัมพันธ์ จึงมีโอกาสที่จะมีโรคติดเชื้ออื่นๆที่ไม่แสดงอาการ เช่น ซิฟิลิส หรือไวรัสตับอักเสบ ร่วมด้วยได้ หมอแนะนำว่าหลังรักษาหายแล้วควรหาเวลาไปตรวจเลือดที่คลินิกหรือโรงพยาบาลเพิ่มเติมด้วยนะครับ,อยากทราบ ว่ามันเราสามารถซื้อยามากินได้ไหมค่ะ พอดีไม่มีเวลาไปโรงพยาบาลเลย แรกๆเวลาฉี่รู้สึกเจ็บมากค่ะ แต่พอหลังๆเริ่มไม่ค่อยเจ็บเท่าไรแต่จะคันแทนมากกว่า ติดเชื้อพยาธิในช่องคลอด (Trichomonas vaginitis)
https://www.agnoshealth.com/forums/22,22,มีวิธีการรักษาอย่างไร มีแก้ไข้้้เบื้องต้นไหม,ซิฟิลิส ระยะที่หนึ่ง (Primary syphilis),การรักษาของโรคนี้จะเป็นการฉีดยาฆ่าเชื้อเป็นหลักเลยครับ ร่วมกับแนะนำให้ตรวจเลือดหาการติดเชื้อเพศสัมพันธ์ที่แอบแฝงอื่นๆด้วยครับ,มีวิธีการรักษาอย่างไร มีแก้ไข้้้เบื้องต้นไหม ซิฟิลิส ระยะที่หนึ่ง (Primary syphilis)
https://www.agnoshealth.com/forums/23,23,เป็นทอมซิลอักเสบมา 1 สัปดาห์แล้ว จะต้องรักษายังไงต่อ,ทอนซิลอักเสบ ติดเชื้อ (Bacterial pharyngotonsilitis),ถ้าเป็นมานานแล้วอาจลองทานยาฆ่าเชื้อแบคทีเรีย ชื่อยา amoxicillin and clavulanate ทั้งหมด 5 วันครับ อาจอมลูกอมและใช้สเปรย์พ่นคอบรรเทาอาการเจ็บคอร่วมด้วยได้ครับ,เป็นทอมซิลอักเสบมา 1 สัปดาห์แล้ว จะต้องรักษายังไงต่อ ทอนซิลอักเสบ ติดเชื้อ (Bacterial pharyngotonsilitis)
